building_size,type,Value,bedroom,age,bathrooms,toilets,Boy'squarter,loc_density,condition,Ceiling ,Floor,Roof,Window ,Painting,water,Electricity,Car_park,Security
400,Detached house,220000000,5,5,6,6,Present,High density,Very good,POP,Tiles,Aluminium Step Tiles Roofing Sheet,Casement,Emulsion Paint,Good,Good,Present,Gated estate
900,Detached house,500000000,5,7,5,6,Present,High density,Very good,POP,Others,Aluminium Step Tiles Roofing Sheet,Glazed Aluminium Sliding Window,Satin Paint,Good,Good,Present,Gated estate
300,Semi-detached house,190000000,5,2,5,5,Absent,Medium density,Very good,POP,Tiles,Long Span Aluminium Roofing sheet,Casement,Emulsion Paint,Fair,Good,Present,Private gate/fence
300,Detached house,280000000,8,6,8,9,Present,High density,Good,POP,Tiles,Aluminium Step Tiles Roofing Sheet,Glazed Aluminium Sliding Window,Emulsion Paint,Good,Very good,Present,Gated estate
675,Detached house,400000000,5,8,6,7,Present,High density,Very good,POP,Tiles,Aluminium Step Tiles Roofing Sheet,Casement,Textcote Paint,Good,Very good,Present,Private gate/fence
500,Detached house,650000000,5,4,5,6,Absent,High density,Very good,POP,Tiles,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Gloss Paint,Good,Good,Present,Gated estate
500,Semi-detached house,480000000,5,1,5,5,Present,High density,Very good,Others,Tiles,Aluminium Step Tiles Roofing Sheet,Glazed Aluminium Sliding Window,Gloss Paint,Good,Good,Present,Private gate/fence
400,Semi-detached house,120000000,4,11,4,5,Absent,High density,Good,POP,Others,Others,Glazed Aluminium Sliding Window,Gloss Paint,Good,Good,Not present,Gated estate
400,Semi-detached house,100000000,4,9,4,5,Present,Low density,Very good,POP,Tiles,Aluminium Step Tiles Roofing Sheet,Glazed Aluminium Sliding Window,Emulsion Paint,Good,Fair,Not present,Private gate/fence
700,Detached house,260000000,7,13,7,8,Present,Medium density,Good,POP,Wooden,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Emulsion Paint,Good,Very good,Present,Street gate
300,Detached house,280000000,5,1,5,5,Absent,Medium density,Good,POP,Tiles,Aluminium Step Tiles Roofing Sheet,Glazed Aluminium Sliding Window,Emulsion Paint,Good,Good,Present,Street gate
450,Detached house,330000000,5,2,5,6,Absent,High density,Very good,POP,Tiles,Long Span Aluminium Roofing sheet,Others,Satin Paint,Good,Good,Present,Street gate
380,Detached house,370000000,5,2,5,6,Absent,High density,Very good,Others,Tiles,Corrugated Iron Sheet,Glazed Aluminium Sliding Window,Emulsion Paint,Good,Good,Not present,Private gate/fence
300,Detached house,240000000,5,1,5,6,Absent,High density,Very good,POP,Tiles,Long Span Aluminium Roofing sheet,Casement,Gloss Paint,Fair,Very good,Present,Private gate/fence
400,Semi-detached house,320000000,6,3,6,6,Present,High density,Good,POP,Others,Long Span Aluminium Roofing sheet,Casement,Gloss Paint,Good,Good,Present,Gated estate
300,Terrace,75000000,4,3,4,4,Absent,Low density,Very good,POP,Wooden,Long Span Aluminium Roofing sheet,Casement,Gloss Paint,Good,Very good,Present,Street gate
650,Detached house,600000000,5,4,5,5,Present,Medium density,Good,POP,Wooden,Aluminium Step Tiles Roofing Sheet,Glazed Aluminium Sliding Window,Emulsion Paint,Good,Good,Present,Private gate/fence
400,Terrace,120000000,4,2,4,5,Present,Medium density,Very good,Others,Others,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Emulsion Paint,Good,Good,Not present,Street gate
350,Semi-detached house,120000000,4,1,4,4,Absent,Low density,Very good,POP,Tiles,Aluminium Step Tiles Roofing Sheet,Glazed Aluminium Sliding Window,Satin Paint,Fair,Very good,Present,Street gate
300,Terrace,117000000,3,1,3,4,Absent,Medium density,Very good,POP,Tiles,Aluminium Step Tiles Roofing Sheet,Casement,Textcote Paint,Good,Very good,Not present,Street gate
300,Detached house,390000000,5,14,5,5,Absent,Medium density,Good,POP,Wooden,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Emulsion Paint,Good,Good,Not present,Private gate/fence
350,Bungalow,60000000,4,4,4,5,Present,Medium density,Good,POP,Tiles,Aluminium Step Tiles Roofing Sheet,Glazed Aluminium Sliding Window,Gloss Paint,Good,Very good,Not present,Street gate
600,Bungalow,72000000,3,8,3,3,Absent,High density,Good,POP,Marble,Corrugated Iron Sheet,Glazed Aluminium Sliding Window,Emulsion Paint,Good,Good,Not present,Private gate/fence
150,Bungalow,30000000,2,9,2,3,Absent,Low density,Good,Others,Tiles,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Emulsion Paint,Good,Good,Not present,Private gate/fence
250,Semi-detached house,67000000,2,4,2,3,Absent,Medium density,Good,POP,Tiles,Aluminium Step Tiles Roofing Sheet,Glazed Aluminium Sliding Window,Gloss Paint,Good,Good,Present,Gated estate
250,Bungalow,25000000,2,1,2,3,Absent,Medium density,Good,POP,Tiles,Aluminium Step Tiles Roofing Sheet,Casement,Emulsion Paint,Fair,Fair,Not present,Gated estate
500,Detached house,850000000,5,2,5,6,Absent,High density,Very good,POP,Tiles,Aluminium Step Tiles Roofing Sheet,Glazed Aluminium Sliding Window,Textcote Paint,Good,Good,Present,Gated estate
180,Terrace,80000000,2,2,2,3,Absent,Medium density,Very good,POP,Tiles,Aluminium Step Tiles Roofing Sheet,Glazed Aluminium Sliding Window,Satin Paint,Good,Good,Not present,Street gate
200,Terrace,80000000,3,3,3,4,Absent,Medium density,Very good,POP,Tiles,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Gloss Paint,Good,Good,Present,Gated estate
300,Terrace,195000000,4,1,4,5,Present,Medium density,Very good,POP,Tiles,Aluminium Step Tiles Roofing Sheet,Glazed Aluminium Sliding Window,Emulsion Paint,Good,Very good,Not present,Gated estate
